[2025-02-15T08:13:05.851+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-15T08:13:05.877+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-01T00:00:00+00:00 [queued]>
[2025-02-15T08:13:05.897+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-01T00:00:00+00:00 [queued]>
[2025-02-15T08:13:05.899+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-15T08:13:05.946+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): get_data> on 2025-02-01 00:00:00+00:00
[2025-02-15T08:13:06.329+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2025-02-01T00:00:00+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmp0l8xzpj4']
[2025-02-15T08:13:06.385+0000] {standard_task_runner.py:105} INFO - Job 20: Subtask get_data
[2025-02-15T08:13:06.443+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=193) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-15T08:13:06.492+0000] {standard_task_runner.py:72} INFO - Started process 292 to run task
[2025-02-15T08:13:07.272+0000] {task_command.py:467} INFO - Running <TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-01T00:00:00+00:00 [running]> on host 873c6cedbc19
[2025-02-15T08:13:09.263+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='play_with_***_connections_and_hooks' AIRFLOW_CTX_TASK_ID='get_data' AIRFLOW_CTX_EXECUTION_DATE='2025-02-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-01T00:00:00+00:00'
[2025-02-15T08:13:09.276+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-02-15T08:13:09.315+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-02-15T08:13:09.326+0000] {logging_mixin.py:190} INFO - Current task name:get_data state:running start_date:2025-02-15 08:13:05.882976+00:00
[2025-02-15T08:13:09.327+0000] {logging_mixin.py:190} INFO - Dag name:play_with_***_connections_and_hooks and current dag run status:running
[2025-02-15T08:13:09.327+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-15T08:13:09.460+0000] {base.py:84} INFO - Retrieving connection 'my_postgres_conn'
[2025-02-15T08:13:10.180+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'log', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.181+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'dag_priority_parsing_request', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.182+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'job', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.184+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_statistic', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.184+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_type', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.186+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'slot_pool', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.190+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'callback_request', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.194+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_foreign_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.195+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_authid', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.196+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_shadow', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.199+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'dag_code', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.203+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'dag_pickle', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.204+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_statistic_ext_data', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.206+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_roles', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.206+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.210+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_file_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.212+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_hba_file_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.218+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_config', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
