[2025-02-15T08:13:05.398+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-15T08:13:05.828+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-14T00:00:00+00:00 [queued]>
[2025-02-15T08:13:06.160+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-14T00:00:00+00:00 [queued]>
[2025-02-15T08:13:06.160+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-15T08:13:06.688+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): get_data> on 2025-02-14 00:00:00+00:00
[2025-02-15T08:13:07.254+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2025-02-14T00:00:00+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmpbh8t2nxh']
[2025-02-15T08:13:07.287+0000] {standard_task_runner.py:105} INFO - Job 15: Subtask get_data
[2025-02-15T08:13:07.294+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=195) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-15T08:13:07.531+0000] {standard_task_runner.py:72} INFO - Started process 297 to run task
[2025-02-15T08:13:08.426+0000] {task_command.py:467} INFO - Running <TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-14T00:00:00+00:00 [running]> on host 873c6cedbc19
[2025-02-15T08:13:09.746+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='play_with_***_connections_and_hooks' AIRFLOW_CTX_TASK_ID='get_data' AIRFLOW_CTX_EXECUTION_DATE='2025-02-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-02-14T00:00:00+00:00'
[2025-02-15T08:13:09.747+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-02-15T08:13:09.747+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-02-15T08:13:09.747+0000] {logging_mixin.py:190} INFO - Current task name:get_data state:running start_date:2025-02-15 08:13:05.829306+00:00
[2025-02-15T08:13:09.748+0000] {logging_mixin.py:190} INFO - Dag name:play_with_***_connections_and_hooks and current dag run status:running
[2025-02-15T08:13:09.748+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-15T08:13:09.879+0000] {base.py:84} INFO - Retrieving connection 'my_postgres_conn'
[2025-02-15T08:13:10.181+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'log', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.182+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'dag_priority_parsing_request', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.183+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'job', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.184+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_statistic', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.185+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_type', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.186+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'slot_pool', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.191+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'callback_request', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.193+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_foreign_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.194+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_authid', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.196+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_shadow', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.199+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'dag_code', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.200+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'dag_pickle', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.203+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_statistic_ext_data', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.205+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_roles', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.206+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.209+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_file_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.211+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_hba_file_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.214+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_config', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
